00:1f:45:81:5f:5a,a0:cf:5b:3f:a6:91,a0:cf:5b:3f:a6:92,a0:cf:5b:3f:a6:94,86:ba:c7:cd:ee:1e,a0:cf:5b:3d:e3:ad,a0:cf:5b:3d:e3:ae,00:1f:45:96:93:db,a0:cf:5b:3d:e3:ab,64:70:02:3e:ab:2f,a0:cf:5b:3f:87:4b,a0:cf:5b:3f:87:4d,a0:cf:5b:3f:87:4e,6c:62:6d:16:1a:51,40:61:86:a7:92:e6,a0:cf:5b:0e:37:62,a0:cf:5b:0e:37:61,a0:cf:5b:0e:37:64,00:1f:45:81:5f:58,00:1f:45:81:5f:59,a0:cf:5b:3f:91:7e,00:0b:6b:84:b4:91,00:26:99:8b:86:c4,00:26:99:8b:86:c5,00:26:99:8b:86:c0,00:26:99:8b:86:c1,a0:cf:5b:0e:37:6e,00:26:99:8b:86:c3,64:ae:0c:bf:c6:64,64:ae:0c:bf:c6:61,00:0b:6b:db:08:fc,64:ae:0c:bf:c6:62,a0:cf:5b:0e:37:6b,00:0b:6b:84:b5:e3,84:c9:b2:aa:16:8c,a0:cf:5b:3d:a0:94,02:6f:81:fc:85:98,a0:cf:5b:3d:a0:91,a0:cf:5b:3d:a0:92,a0:cf:5b:0e:d9:9b,00:1f:45:81:6d:ca,a0:cf:5b:0e:37:6d,a0:cf:5b:0e:d9:9e,a0:cf:5b:0e:d9:9d,64:70:02:3e:aa:11,a0:cf:5b:3e:e0:91,a0:cf:5b:3e:e0:92,a0:cf:5b:3e:e0:94,00:0b:6b:db:08:e2,64:70:02:3e:ab:30,02:6f:81:fc:8a:58,a0:cf:5b:00:75:9e,a0:cf:5b:00:75:9d,00:1f:45:81:6d:c9,00:1f:45:81:6d:c8,a0:cf:5b:00:75:9b,8a:41:af:71:d8:37,64:70:02:3e:aa:d9,a0:cf:5b:3d:7d:a1,a0:cf:5b:3e:e0:9d,a0:cf:5b:3e:e0:9e,a2:05:43:d6:39:7a,00:0b:6b:db:08:ec,00:11:09:0c:52:8d,64:70:02:3e:aa:ef,02:2d:cd:07:25:07,a2:05:43:d0:23:80,a0:cf:5b:3d:e0:8b,02:9c:1c:e2:ce:24,a0:cf:5b:3d:e0:8d,a0:cf:5b:3d:e0:8e,00:0b:6b:84:b5:bc,00:0b:6b:db:08:c8,00:1f:45:81:49:59,64:70:02:3e:9f:63,a0:cf:5b:3d:7d:a2,02:6f:81:fb:ee:f0,a0:cf:5b:3e:e0:9b,a0:cf:5b:00:1d:8e,a0:cf:5b:00:1d:8d,a0:cf:5b:00:1d:8b,00:23:12:fc:66:8f,00:0b:6b:db:08:f9,00:12:bf:b3:78:f4,a0:cf:5b:3d:7d:a4,00:0b:6b:db:08:cb,a0:cf:5b:3f:bd:fb,00:1f:45:81:49:58,a0:cf:5b:3f:bd:fe,a0:cf:5b:9f:68:6b,a0:cf:5b:3d:9d:34,a0:cf:5b:3d:9d:32,a0:cf:5b:3d:9d:31,ba:eb:90:ee:1b:d2,a0:cf:5b:3f:91:7d,a0:cf:5b:9f:68:64,a0:cf:5b:3f:91:7b,a0:cf:5b:9f:68:62,a0:cf:5b:9f:68:61,00:1f:45:81:49:5a,a0:cf:5b:fa:41:dd,a0:cf:5b:fa:41:de,a0:cf:5b:fa:41:db,00:0b:6b:84:b2:96,00:17:9a:f9:b8:7b,a0:cf:5b:9f:68:6e,a0:cf:5b:9f:68:6d,10:9a:dd:8e:0e:77,a0:cf:5b:3f:bd:fd,00:0b:6b:db:09:02,a0:cf:5b:3f:bf:cd,a0:cf:5b:3f:bf:ce,a0:cf:5b:3f:bf:cb,a0:cf:5b:00:ee:eb,a0:cf:5b:00:ee:ee,a0:cf:5b:00:ee:ed,xcoordinate,ycoordinate,class
-100,-100,-100,-100,-89,-75,-73,-100,-75,-35,-79,-79,-79,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-84,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-61,-100,-100,-100,-87,-40,-100,-77,-75,-100,-100,-75,-100,-47,-100,-100,-100,-100,-100,-89,-62,-89,-100,-80,-100,-82,-82,-79,-100,-100,-69,-100,-89,-100,-81,-81,-82,-100,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-44,-44,-88,-100,-100,-100,-89,-100,-100,-79,-76,-79,-79,-78,-77,11.57,5.06,1
-100,-100,-100,-100,-89,-73,-73,-100,-75,-51,-79,-80,-80,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-100,-84,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-61,-100,-100,-100,-86,-40,-100,-77,-76,-100,-100,-75,-100,-47,-100,-100,-100,-100,-100,-88,-64,-89,-100,-80,-100,-82,-80,-80,-100,-100,-70,-100,-89,-100,-83,-81,-82,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-45,-45,-88,-100,-100,-100,-89,-100,-100,-76,-80,-79,-82,-81,-81,11.57,5.06,1
-100,-100,-100,-100,-89,-74,-73,-100,-74,-35,-80,-80,-79,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-85,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-58,-100,-100,-100,-87,-40,-100,-76,-76,-100,-100,-75,-100,-46,-100,-100,-100,-100,-100,-88,-63,-89,-100,-81,-100,-80,-81,-80,-100,-100,-72,-100,-89,-100,-81,-81,-82,-100,-85,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-44,-44,-89,-100,-100,-100,-89,-100,-100,-76,-80,-76,-78,-80,-79,11.57,5.06,1
-100,-100,-100,-100,-89,-72,-73,-100,-73,-31,-79,-79,-78,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-84,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-58,-100,-100,-100,-87,-40,-100,-76,-75,-100,-100,-75,-100,-47,-100,-100,-100,-100,-100,-89,-64,-89,-100,-80,-100,-81,-82,-80,-100,-100,-69,-100,-89,-100,-81,-81,-82,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-44,-45,-88,-100,-100,-100,-88,-100,-100,-77,-77,-77,-78,-79,-79,11.57,5.06,1
-100,-100,-100,-100,-89,-74,-73,-100,-72,-36,-80,-78,-79,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-84,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-60,-100,-100,-100,-87,-40,-100,-75,-76,-100,-100,-75,-100,-47,-100,-100,-100,-100,-100,-89,-64,-89,-100,-81,-100,-80,-80,-80,-100,-100,-70,-100,-89,-100,-83,-81,-82,-100,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-43,-44,-88,-100,-100,-100,-88,-100,-100,-76,-80,-80,-78,-81,-79,11.57,5.06,1
-100,-100,-100,-100,-89,-74,-73,-100,-72,-32,-79,-78,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-85,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-61,-100,-100,-100,-87,-40,-100,-76,-75,-100,-100,-75,-100,-48,-100,-100,-100,-100,-100,-88,-63,-89,-100,-78,-100,-78,-81,-79,-100,-100,-70,-100,-89,-100,-81,-81,-82,-100,-85,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-45,-44,-44,-88,-100,-100,-100,-88,-100,-100,-81,-80,-77,-79,-79,-77,11.57,5.06,1
-100,-100,-100,-100,-89,-74,-73,-100,-74,-35,-79,-79,-79,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-84,-100,-84,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-60,-100,-100,-100,-87,-40,-100,-77,-76,-100,-100,-75,-100,-46,-100,-100,-100,-100,-100,-88,-63,-89,-100,-81,-100,-80,-82,-80,-100,-100,-70,-100,-89,-100,-81,-81,-82,-100,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-45,-45,-44,-88,-100,-100,-100,-89,-100,-100,-76,-79,-76,-78,-79,-80,11.57,5.06,1
-100,-100,-100,-100,-89,-72,-73,-100,-74,-34,-78,-77,-79,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-84,-100,-84,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-60,-100,-100,-100,-87,-40,-100,-75,-75,-100,-100,-75,-100,-45,-100,-100,-100,-100,-100,-88,-62,-89,-100,-79,-100,-80,-81,-80,-100,-100,-71,-100,-89,-100,-81,-81,-82,-100,-86,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-43,-44,-44,-88,-100,-100,-100,-89,-100,-100,-79,-76,-76,-81,-78,-78,11.57,5.06,1
-100,-100,-100,-100,-89,-73,-73,-100,-73,-36,-79,-79,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-85,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-60,-100,-100,-100,-87,-40,-100,-75,-75,-100,-100,-75,-100,-47,-100,-100,-100,-100,-100,-88,-64,-89,-100,-80,-100,-81,-82,-79,-100,-100,-68,-100,-89,-100,-81,-81,-82,-100,-85,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-44,-45,-88,-100,-100,-100,-88,-100,-100,-76,-77,-79,-80,-81,-81,11.57,5.06,1
-100,-100,-100,-100,-89,-73,-72,-100,-74,-35,-80,-78,-80,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-85,-100,-100,-89,-89,-89,-89,-89,-100,-100,-100,-100,-100,-58,-100,-100,-100,-87,-40,-100,-77,-75,-100,-100,-75,-100,-48,-100,-100,-100,-100,-100,-89,-64,-89,-100,-82,-100,-81,-81,-79,-100,-100,-72,-100,-89,-100,-81,-81,-82,-100,-85,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-45,-43,-88,-100,-100,-100,-88,-100,-100,-77,-76,-79,-82,-81,-79,11.57,5.06,1
-100,-100,-100,-100,-89,-73,-73,-100,-74,-36,-81,-82,-82,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-84,-100,-100,-89,-89,-100,-89,-100,-100,-100,-100,-100,-100,-60,-84,-84,-83,-88,-40,-100,-77,-78,-90,-100,-78,-100,-46,-100,-100,-100,-100,-100,-88,-68,-100,-100,-100,-100,-100,-83,-82,-100,-100,-74,-100,-100,-100,-81,-82,-81,-100,-87,-85,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-83,-83,-100,-42,-43,-42,-87,-100,-100,-100,-100,-100,-100,-78,-78,-79,-79,-80,-82,11.57,1.89,2
-100,-100,-100,-100,-89,-74,-73,-100,-73,-36,-81,-82,-83,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-84,-100,-100,-89,-89,-100,-89,-100,-100,-100,-100,-100,-100,-60,-83,-84,-86,-88,-40,-100,-77,-78,-90,-100,-79,-100,-46,-100,-100,-100,-100,-100,-88,-68,-100,-100,-100,-100,-100,-83,-83,-100,-100,-75,-100,-100,-100,-81,-81,-83,-100,-86,-87,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-82,-82,-100,-42,-46,-45,-88,-100,-100,-100,-100,-100,-100,-78,-81,-79,-79,-79,-80,11.57,1.89,2
-100,-100,-100,-100,-89,-73,-72,-100,-73,-36,-81,-80,-81,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-84,-100,-100,-91,-89,-100,-89,-100,-100,-100,-100,-100,-100,-60,-84,-84,-84,-88,-40,-100,-78,-78,-90,-100,-79,-100,-47,-100,-100,-100,-100,-100,-88,-69,-100,-100,-100,-100,-100,-83,-83,-100,-100,-75,-100,-100,-100,-81,-82,-83,-100,-87,-86,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-82,-82,-100,-45,-43,-44,-88,-100,-100,-100,-100,-100,-100,-78,-81,-79,-80,-79,-81,11.57,1.89,2
-100,-100,-100,-100,-89,-73,-73,-100,-72,-36,-82,-80,-81,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-84,-100,-100,-90,-89,-100,-89,-100,-100,-100,-100,-100,-100,-60,-84,-84,-83,-84,-40,-100,-79,-77,-90,-100,-77,-100,-47,-100,-100,-100,-100,-100,-89,-68,-100,-100,-100,-100,-100,-83,-82,-100,-100,-77,-100,-100,-100,-80,-81,-80,-100,-87,-87,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-83,-82,-100,-43,-42,-43,-88,-100,-100,-100,-100,-100,-100,-78,-79,-80,-80,-79,-80,11.57,1.89,2
-100,-100,-100,-100,-89,-74,-73,-100,-73,-31,-82,-80,-83,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-84,-100,-100,-91,-89,-100,-89,-100,-100,-100,-100,-100,-100,-59,-84,-83,-83,-88,-40,-100,-77,-77,-90,-100,-78,-100,-47,-100,-100,-100,-100,-100,-89,-68,-100,-100,-100,-100,-100,-83,-83,-100,-100,-75,-100,-100,-100,-81,-81,-82,-100,-87,-86,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-82,-82,-100,-43,-43,-44,-88,-100,-100,-100,-100,-100,-100,-78,-79,-79,-80,-80,-80,11.57,1.89,2
-100,-100,-100,-100,-89,-73,-73,-100,-74,-31,-82,-80,-82,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-84,-100,-100,-90,-89,-100,-89,-100,-100,-100,-100,-100,-100,-60,-84,-84,-83,-88,-40,-100,-78,-78,-90,-100,-79,-100,-48,-100,-100,-100,-100,-100,-88,-68,-100,-100,-100,-100,-100,-83,-83,-100,-100,-74,-100,-100,-100,-83,-81,-80,-100,-87,-86,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-82,-82,-100,-43,-45,-42,-88,-100,-100,-100,-100,-100,-100,-78,-79,-79,-79,-80,-81,11.57,1.89,2
-100,-100,-100,-100,-89,-73,-73,-100,-73,-31,-81,-82,-82,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-84,-100,-100,-91,-89,-100,-89,-100,-100,-100,-100,-100,-100,-61,-84,-84,-83,-88,-40,-100,-77,-77,-90,-100,-79,-100,-47,-100,-100,-100,-100,-100,-87,-68,-100,-100,-100,-100,-100,-83,-82,-100,-100,-75,-100,-100,-100,-83,-82,-81,-100,-87,-86,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-82,-82,-100,-43,-43,-42,-88,-100,-100,-100,-100,-100,-100,-80,-78,-79,-79,-82,-80,11.57,1.89,2
-100,-100,-100,-100,-89,-74,-74,-100,-73,-31,-81,-80,-83,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-84,-100,-100,-89,-89,-100,-89,-100,-100,-100,-100,-100,-100,-60,-84,-84,-84,-84,-40,-100,-78,-78,-90,-100,-78,-100,-47,-100,-100,-100,-100,-100,-88,-69,-100,-100,-100,-100,-100,-83,-81,-100,-100,-73,-100,-100,-100,-81,-81,-81,-100,-87,-86,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-83,-82,-100,-43,-44,-44,-88,-100,-100,-100,-100,-100,-100,-79,-80,-78,-80,-79,-80,11.57,1.89,2
